Station	Lat	Long	Depth (km)	Error (km)	Interp
CMB	38.0346	-120.3865	78	8	LAB
ORV	39.5545	-121.5004	78	8	LAB
PKD	35.9452	-120.5416	79	18	LAB
WDC	40.5799	-122.5411	70	15	LAB
YBH	41.732	-122.7104	59	8	LAB
DGR	33.65	-117.0095	67	9	LAB
GSC	35.3018	-116.8057	61	6	LAB
PAS	34.1484	-118.1712	70	8	LAB
RPV	33.7435	-118.4041	65	8	LAB
SVD	34.1065	-117.0982	79	18	LAB
TOV	34.1561	-118.8204	75	24	LAB
USC	34.0192	-118.2863	58	13	LAB
VTV	34.5607	-117.3296	68	10	LAB
SADO	44.7694	-79.1417	90	21	MLD
ULM	50.2503	-95.875	101	14	MLD
FERN	37.1526	-121.812	66	8	LAB
SCZ	36.598	-121.403	70	15	LAB
NV31	38.4328	-118.153	102	10	LAB
TX31	29.3342	-103.667	83	19	LAB
TX32	29.3338	-103.667	80	17	LAB
CCM	38.0557	-91.2446	88	19	
HKT	29.9618	-95.8384	76	9	LAB
HRV	42.506	-71.558	111	7	LAB
SSPA	40.6401	-77.8914	109	38	
TUC	32.3096	-110.7846	80	7	LAB
WCI	38.229	-86.294	97	7	MLD
WVT	36.13	-87.83	113	7	MLD
BMN	40.4314	-117.221	51	32	LAB
TPH	38.075	-117.2225	83	8	LAB
ACCN	43.3843	-73.6678	73	12	
BRNJ	40.6828	-74.566	89	8	LAB
MVL	39.9992	-76.3506	75	16	LAB
PAL	41.0056	-73.9079	79	10	LAB
PTN	44.57	-74.9819	69	11	MLD
SDMD	39.4102	-76.8403	105	9	
LTH	46.4617	-119.4177	76	14	LAB
WVL	44.564	-69.662	98	12	LAB
BLO	39.1719	-86.5222	111	14	MLD
FVM	37.984	-90.426	101	11	
PLAL	34.9824	-88.0755	83	8	MLD
SIUC	37.7148	-89.2174	75	8	
SLM	38.6361	-90.2364	77	13	
UALR	34.7753	-92.3436	104	12	
UTMT	36.3423	-88.8642	76	7	
NE70	32.4209	-115.26	52	11	LAB
NE71	31.6897	-115.905	67	7	LAB
PFO	33.6092	-116.4553	77	12	LAB
PIN	43.811	-120.8731	66	6	LAB
AAM	42.3012	-83.6567	90	11	MLD
BINY	42.1993	-75.9861	122	44	
BLA	37.2113	-80.421	69	12	MLD
CBKS	38.814	-99.7374	69	8	
CBBN	38.2046	-77.3732	90	20	
CEH	35.8908	-79.0928	99	11	MLD
ELK	40.7448	-115.2388	56	6	LAB
EYMN	47.9462	-91.495	94	10	MLD
GOGA	33.4112	-83.4666	101	5	LAB
ISA	35.6628	-118.474	62	12	LAB
ISCO	39.7997	-105.613	79	21	LAB
JCT	30.4794	-99.8022	94	9	LAB
JFWS	42.9142	-90.2481	59	12	MLD
LBNH	44.2401	-71.9259	99	27	LAB
LKWY	44.5652	-110.4	90	7	
LRAL	33.0348	-86.9978	91	21	MLD
LTX	29.3339	-103.6669	81	12	LAB
MCWV	39.6581	-79.8456	91	11	MLD
MNV	38.4328	-118.1531	80	10	LAB
NCB	43.9708	-74.2236	109	19	
NHSC	33.1067	-80.1778	57	6	
SAO	36.765	-121.445	79	13	LAB
WMOK	34.7379	-98.781	84	7	
GNW	47.5642	-122.8265	104	6	LAB
LTY	47.2557	-120.666	104	7	LAB
