Network,Station,Latitude,Longitude,TaxCode,Lambda,N_Cluster,P_Cluster
TA,BNLO,37.1,-122.2,N_type_Layer,1.3,3,2.0
TA,K21A,42.6,-107.3,Intra_no_base,1.7,1,3.0
N4,W50A,35.2,-85.3,Intra_no_base,1.0,2,3.0
TA,T56A,37.0,-80.0,Intra_no_base,1.2,3,3.0
TA,150A,32.6,-86.0,Intra_no_base,0.8,2,3.0
TA,V52A,35.8,-83.6,P_type_Layer,1.2,1,1.0
N4,K30B,42.7,-99.6,Intra_no_base,1.6,2,3.0
TA,F25A,45.9,-103.5,Intra_no_base,1.2,1,3.0
TA,Q22A,38.9,-106.9,Intra_no_base,1.2,1,3.0
TA,Q19A,39.0,-109.3,Intra_no_base,0.9,2,3.0
TA,S45A,37.7,-88.6,Intra_no_base,1.5,1,3.0
TA,M27A,41.5,-102.4,Intra_no_base,1.2,1,3.0
TA,O50A,40.1,-83.6,Intra_no_base,0.8,2,3.0
TA,R24A,38.2,-105.1,Intra_no_base,0.8,1,3.0
7A,FOXP,38.6,-79.2,P_type_Layer,1.2,1,1.0
N4,S39B,37.7,-93.3,Transitional,0.8,4,3.0
TA,224A,32.1,-105.5,Intra_no_base,0.8,1,3.0
TA,R26A,38.3,-103.4,Intra_no_base,1.2,1,3.0
TA,L38A,42.1,-93.0,Intra_no_base,1.4,1,3.0
TA,I29A,44.0,-100.3,P_type_Layer,1.3,1,1.0
IU,COR,44.6,-123.3,Transitional,1.2,4,3.0
IU,RSSD,44.1,-104.03,Intra_no_base,1.3,1,N/A
US,ECSD,43.7,-96.6,Intra_no_base,1.2,2,N/A
TA,Q47A,38.9,-86.4,Transitional,1.2,4,3.0
LD,WVNY,42.4,-78.6,Intra_no_base,0.8,1,3.0
TA,Z44A,33.3,-90.4,Intra_no_base,0.8,1,3.0
TA,736A,29.0,-97.1,Intra_no_base,1.4,1,3.0
N4,Z51A,33.3,-85.2,Transitional,0.8,4,3.0
N4,Z51A,33.3,-85.2,Transitional,0.8,4,3.0
N4,M55A,41.5,-78.8,Intra_no_base,0.8,1,3.0
US,LONY,44.6,-74.6,Intra_no_base,0.8,1,3.0
TA,628A,29.5,-102.9,Intra_no_base,1.1,1,3.0
TA,M49A,41.5,-84.0,Transitional,0.9,4,3.0
TA,226B,32.1,-104.2,Intra_no_base,0.8,2,3.0
TA,K58A,42.8,-75.6,Intra_no_base,1.7,3,3.0
TA,P50A,39.6,-83.8,Transitional,0.8,4,3.0
TA,H03A,44.7,-123.3,Intra_no_base,1.6,2,3.0
TA,L21A,42.0,-107.4,Intra_no_base,0.8,2,3.0
US,SCIA,41.9,-93.2,Intra_no_base,1.2,1,3.0
TA,S39A,37.7,-93.3,Transitional,0.8,4,3.0
TA,E52A,46.3,-78.7,Intra_no_base,0.8,1,3.0
TA,L59A,42.2,-75.0,Intra_no_base,1.0,1,3.0
TA,F26A,45.9,-102.7,Intra_no_base,1.0,1,3.0
TA,T15A,37.0,-112.4,Transitional,1.2,4,3.0
IU,CCM,38.1,-91.2,Intra_no_base,1.2,1,3.0
TA,N51A,40.9,-82.4,Transitional,0.8,4,3.0
TA,H40A,44.6,-90.4,Intra_no_base,1.2,1,3.0
LD,NCB,44.0,-74.2,Intra_no_base,0.8,2,3.0
TA,TUL1,35.9,-95.8,Intra_no_base,0.8,1,3.0
TA,J57A,43.4,-76.0,Intra_no_base,0.8,3,3.0
TA,125A,32.7,-104.7,P_type_Layer,0.8,3,1.0
TA,Y54A,33.9,-82.7,P_type_Layer,1.0,1,1.0
US,COWI,46.1,-89.1,Intra_no_base,0.8,1,3.0
TA,Z36A,33.3,-96.4,P_type_Layer,2.7,1,1.0
TA,N20A,40.8,-108.3,P_type_Layer,0.8,1,1.0
TA,D58A,47.1,-72.9,P_type_Layer,1.4,2,1.0
TA,K37A,42.8,-93.6,P_type_Layer,1.7,1,2.0
TA,Q12A,39.0,-114.8,Intra_no_base,1.4,1,3.0
TA,349A,31.4,-87.2,P_type_Layer,0.8,1,2.0
US,NEW,48.3,-117.1,P_type_Layer,1.2,1,4.0
,PAL,41.0,-73.9,P_type_Layer,1.2,1,N/A
TA,V59A,35.8,-78.2,N_type_Layer,0.8,2,2.0
TA,933A,27.6,-99.3,Unknown,2.2,3,N/A
Z9,W21,32.4,-83.9,P_type_Layer,0.8,1,2.0
TA,Q31A,39.0,-99.4,P_type_Layer,0.8,1,1.0
TA,I10A,44.1,-116.8,Intra_no_base,1.2,3,3.0
IU,DWPF,28.1,-81.4,N_type_Layer,1.3,3,1.0
TA,F39A,45.9,-90.9,Intra_no_base,2.2,1,N/A
IU,HRV,42.5,-71.6,P_type_Layer,0.8,2,1.0
TA,B08A,48.4,-119.3,P_type_Layer,1.3,1,2.0
,H61A,44.5,-71.9,N_type_Layer,1.2,3,N/A
TA,I04A,43.8,-122.4,P_type_Layer,1.5,3,1.0
TA,R06C,38.5,-119.5,P_type_Layer,1.7,1,1.0
TA,I12A,43.8,-115.1,Intra_no_base,1.4,1,N/A
TA,433A,30.8,-99.1,Intra_no_base,0.9,2,N/A
7A,LBDL,37.8,-77.6,Intra_no_base,0.9,1,4.0
TA,N14A,40.9,-113.2,Intra_no_base,1.9,1,3.0
TA,X18A,34.5,-110.0,P_type_Layer,0.9,1,2.0
TA,H09A,44.7,-117.7,P_type_Layer,1.2,1,1.0
TX,435B,30.8,-97.6,P_type_Layer,0.8,1,4.0
TA,X19A,34.4,-109.3,P_type_Layer,0.8,1,1.0
LD,FOR,40.9,-73.9,P_type_Layer,0.8,1,1.0
TA,U26A,36.4,-103.7,Intra_no_base,0.8,1,3.0
TA,K47A,42.7,-85.0,P_type_Layer,1.4,1,2.0
TA,G43A,45.3,-87.7,P_type_Layer,1.7,1,4.0
TA,O34A,40.2,-96.7,P_type_Layer,1.4,1,4.0
TA,T38A,37.0,-94.3,Intra_no_base,1.3,2,N/A
TA,L61A,42.2,-73.6,Transitional,1.1,4,3.0
N4,V55A,35.9,-81.2,Transitional,0.8,4,N/A
TA,U47A,36.4,-87.3,Intra_no_base,1.2,1,3.0
