longitude,latitude,depth,vsv,vp
-81.25,24.25,100.0,4.592,8.21959
-81.0,24.25,100.0,4.59012,8.21677
-81.5,24.5,100.0,4.59325,8.21306
-81.25,24.5,100.0,4.59106,8.20908
-81.0,24.5,100.0,4.58882,8.20504
-80.75,24.5,100.0,4.58671,8.20124
-81.5,24.75,100.0,4.59275,8.21279
-81.25,24.75,100.0,4.59007,8.20805
-81.0,24.75,100.0,4.58738,8.20332
-80.75,24.75,100.0,4.585,8.1991
-80.5,24.75,100.0,4.58308,8.19563
-81.5,25.0,100.0,4.59253,8.21296
-81.25,25.0,100.0,4.58916,8.20714
-81.0,25.0,100.0,4.58583,8.20141
-80.75,25.0,100.0,4.58307,8.1966
-81.0,25.25,100.0,4.58422,8.19936
-81.25,25.5,100.0,4.58826,8.20675
-81.0,25.5,100.0,4.58265,8.1973
-80.75,25.5,100.0,4.57866,8.1905
-80.5,25.5,100.0,4.57681,8.18727
-81.25,25.75,100.0,4.58907,8.20849
-81.0,25.75,100.0,4.58139,8.19561
-80.75,25.75,100.0,4.57634,8.18706
-80.5,25.75,100.0,4.5748,8.18443
-98.25,26.0,100.0,4.47873,8.03111
-98.0,26.0,100.0,4.48393,8.04134
-81.75,26.0,100.0,4.60446,8.2348
-81.5,26.0,100.0,4.6004,8.22785
-81.25,26.0,100.0,4.59202,8.21367
-81.0,26.0,100.0,4.58127,8.1955
-80.75,26.0,100.0,4.57428,8.18381
-80.5,26.0,100.0,4.57344,8.18255
-80.25,26.0,100.0,4.57574,8.18643
-98.5,26.25,100.0,4.47365,8.02015
-98.25,26.25,100.0,4.47983,8.03117
-98.0,26.25,100.0,4.48586,8.04262
-97.75,26.25,100.0,4.49063,8.05261
-82.0,26.25,100.0,4.60787,8.24104
-81.75,26.25,100.0,4.60782,8.24077
-81.5,26.25,100.0,4.60599,8.23754
-81.25,26.25,100.0,4.59981,8.22702
-81.0,26.25,100.0,4.58124,8.19543
-80.75,26.25,100.0,4.57256,8.18105
-80.5,26.25,100.0,4.57383,8.18352
-80.25,26.25,100.0,4.57784,8.19037
-80.0,26.25,100.0,4.58254,8.19835
-98.5,26.5,100.0,4.47246,8.01789
-98.25,26.5,100.0,4.4808,8.0319
-98.0,26.5,100.0,4.48776,8.04447
-97.75,26.5,100.0,4.49207,8.05332
-97.5,26.5,100.0,4.49566,8.06184
-82.0,26.5,100.0,4.60761,8.24092
-81.75,26.5,100.0,4.60759,8.24066
-81.5,26.5,100.0,4.60501,8.23621
-81.25,26.5,100.0,4.59657,8.22191
-81.0,26.5,100.0,4.58499,8.2023
-80.75,26.5,100.0,4.58124,8.19612
-80.5,26.5,100.0,4.57903,8.1925
-80.25,26.5,100.0,4.58336,8.19998
-80.0,26.5,100.0,4.58859,8.209
-99.0,26.75,100.0,4.46985,7.99492
-98.75,26.75,100.0,4.46073,7.97067
-98.5,26.75,100.0,4.46845,8.0111
-98.25,26.75,100.0,4.48323,8.03578
-98.0,26.75,100.0,4.48959,8.04671
-97.75,26.75,100.0,4.49209,8.05201
-82.25,26.75,100.0,4.60218,8.23225
-82.0,26.75,100.0,4.60657,8.23946
-81.75,26.75,100.0,4.60391,8.23475
-81.5,26.75,100.0,4.60041,8.22859
-81.25,26.75,100.0,4.59487,8.21916
-81.0,26.75,100.0,4.58886,8.209
-80.75,26.75,100.0,4.58867,8.20887
-80.5,26.75,100.0,4.59119,8.21341
-80.25,26.75,100.0,4.59451,8.21925
-80.0,26.75,100.0,4.59518,8.22042
-99.25,27.0,100.0,4.48733,8.02806
-99.0,27.0,100.0,4.47198,8.00041
-98.75,27.0,100.0,4.45102,7.95508
-98.5,27.0,100.0,4.46089,7.96535
-98.25,27.0,100.0,4.48148,8.03277
-98.0,27.0,100.0,4.48735,8.0424
-97.75,27.0,100.0,4.48837,8.04461
-97.5,27.0,100.0,4.49204,8.05352
-97.25,27.0,100.0,4.49765,8.06657
-97.0,27.0,100.0,4.504,8.04194
-82.25,27.0,100.0,4.59394,8.21833
-82.0,27.0,100.0,4.59882,8.22669
-81.75,27.0,100.0,4.60129,8.23089
-81.5,27.0,100.0,4.596,8.22127
-81.25,27.0,100.0,4.59328,8.21693
-81.0,27.0,100.0,4.58804,8.20809
-80.75,27.0,100.0,4.59389,8.21844
-80.5,27.0,100.0,4.6007,8.23036
-80.25,27.0,100.0,4.60132,8.23115
-80.0,27.0,100.0,4.60012,8.22907
