longitude,latitude,depth,vsv,vp
-81.5,24.5,120.0,4.59823,8.2278
-81.25,24.5,120.0,4.59886,8.22863
-81.0,24.5,120.0,4.59928,8.22913
-80.75,24.5,120.0,4.59964,8.22957
-81.5,24.75,120.0,4.59822,8.22756
-81.25,24.75,120.0,4.59834,8.22751
-81.0,24.75,120.0,4.59833,8.22726
-80.75,24.75,120.0,4.59841,8.22724
-80.5,24.75,120.0,4.59869,8.2276
-81.5,25.0,120.0,4.59844,8.22776
-81.25,25.0,120.0,4.59787,8.2265
-81.0,25.0,120.0,4.59728,8.22523
-80.75,25.0,120.0,4.59703,8.22466
-81.0,25.25,120.0,4.59614,8.22305
-81.25,25.5,120.0,4.59746,8.22548
-81.0,25.5,120.0,4.59494,8.22079
-80.75,25.5,120.0,4.59387,8.21882
-80.5,25.5,120.0,4.59433,8.21964
-81.25,25.75,120.0,4.59797,8.22633
-81.0,25.75,120.0,4.59388,8.2188
-80.75,25.75,120.0,4.59229,8.21595
-80.5,25.75,120.0,4.59321,8.21767
-98.25,26.0,120.0,4.34203,7.78575
-98.0,26.0,120.0,4.33995,7.78291
-81.75,26.0,120.0,4.60803,8.24498
-81.5,26.0,120.0,4.60521,8.23976
-81.25,26.0,120.0,4.59972,8.22954
-81.0,26.0,120.0,4.59377,8.21859
-80.75,26.0,120.0,4.59115,8.21393
-80.5,26.0,120.0,4.59291,8.21717
-80.25,26.0,120.0,4.59575,8.22227
-98.5,26.25,120.0,4.34727,7.79346
-98.25,26.25,120.0,4.34341,7.7867
-98.0,26.25,120.0,4.34254,7.78584
-97.75,26.25,120.0,4.3428,7.78754
-82.0,26.25,120.0,4.61147,8.25102
-81.75,26.25,120.0,4.61111,8.2505
-81.5,26.25,120.0,4.60882,8.24646
-81.25,26.25,120.0,4.60387,8.23731
-81.0,26.25,120.0,4.59379,8.21864
-80.75,26.25,120.0,4.59093,8.21359
-80.5,26.25,120.0,4.59406,8.2193
-80.25,26.25,120.0,4.59766,8.22572
-80.0,26.25,120.0,4.60126,8.23209
-98.5,26.5,120.0,4.3474,7.79358
-98.25,26.5,120.0,4.34635,7.79113
-98.0,26.5,120.0,4.34576,7.79035
-97.75,26.5,120.0,4.34563,7.79114
-97.5,26.5,120.0,4.34777,7.79665
-82.0,26.5,120.0,4.61239,8.25241
-81.75,26.5,120.0,4.61157,8.25112
-81.5,26.5,120.0,4.60751,8.24396
-81.25,26.5,120.0,4.60135,8.23248
-81.0,26.5,120.0,4.59374,8.21848
-80.75,26.5,120.0,4.5958,8.22221
-80.5,26.5,120.0,4.59661,8.22376
-80.25,26.5,120.0,4.60148,8.23248
-80.0,26.5,120.0,4.6055,8.23965
-99.0,26.75,120.0,4.432,7.92601
-98.75,26.75,120.0,4.37326,7.81355
-98.5,26.75,120.0,4.34883,7.79635
-98.25,26.75,120.0,4.34695,7.79189
-98.0,26.75,120.0,4.34776,7.79312
-97.75,26.75,120.0,4.34694,7.79236
-82.25,26.75,120.0,4.60635,8.2412
-82.0,26.75,120.0,4.61234,8.25205
-81.75,26.75,120.0,4.60919,8.24645
-81.5,26.75,120.0,4.60458,8.23829
-81.25,26.75,120.0,4.59857,8.2274
-81.0,26.75,120.0,4.59567,8.22196
-80.75,26.75,120.0,4.60006,8.2298
-80.5,26.75,120.0,4.606,8.2405
-80.25,26.75,120.0,4.6109,8.24929
-80.0,26.75,120.0,4.6111,8.24963
-99.25,27.0,120.0,4.48423,8.02195
-99.0,27.0,120.0,4.46237,7.98268
-98.75,27.0,120.0,4.37105,7.81124
-98.5,27.0,120.0,4.35068,7.76863
-98.25,27.0,120.0,4.34634,7.79085
-98.0,27.0,120.0,4.34776,7.79278
-97.75,27.0,120.0,4.34519,7.7885
-97.5,27.0,120.0,4.35133,7.80119
-97.25,27.0,120.0,4.36282,7.82394
-97.0,27.0,120.0,4.37547,7.81225
-82.25,27.0,120.0,4.59559,8.22169
-82.0,27.0,120.0,4.60283,8.2347
-81.75,27.0,120.0,4.60639,8.24115
-81.5,27.0,120.0,4.60166,8.23273
-81.25,27.0,120.0,4.59342,8.21806
-81.0,27.0,120.0,4.58731,8.20681
-80.75,27.0,120.0,4.59769,8.22546
-80.5,27.0,120.0,4.61078,8.24899
-80.25,27.0,120.0,4.6165,8.25928
-80.0,27.0,120.0,4.61478,8.25621
-99.5,27.25,120.0,4.51596,8.07898
-99.25,27.25,120.0,4.49594,8.04286
-99.0,27.25,120.0,4.44801,7.95629
-98.75,27.25,120.0,4.40063,7.86935
-98.5,27.25,120.0,4.3421,7.75567
-98.25,27.25,120.0,4.33309,7.76776
-98.0,27.25,120.0,4.33568,7.77114
-97.75,27.25,120.0,4.33809,7.77555
-97.5,27.25,120.0,4.35447,7.80686
-97.25,27.25,120.0,4.37315,7.80792
-97.0,27.25,120.0,4.38911,7.83994
-96.75,27.25,120.0,4.40212,7.86579
-82.5,27.25,120.0,4.5828,8.19859
-82.25,27.25,120.0,4.58667,8.20559
-82.0,27.25,120.0,4.59634,8.22298
-81.75,27.25,120.0,4.60057,8.23063
-81.5,27.25,120.0,4.59945,8.22864
-81.25,27.25,120.0,4.59298,8.21702
-81.0,27.25,120.0,4.58706,8.20611
-80.75,27.25,120.0,4.59207,8.21508
-80.5,27.25,120.0,4.60362,8.23606
-80.25,27.25,120.0,4.61289,8.25276
-80.0,27.25,120.0,4.61396,8.25471
-99.75,27.5,120.0,4.55391,8.14738
-99.5,27.5,120.0,4.53493,8.11316
-99.25,27.5,120.0,4.51106,8.07
-99.0,27.5,120.0,4.45599,7.9704
-98.75,27.5,120.0,4.40589,7.87919
-98.5,27.5,120.0,4.34025,7.75406
-98.25,27.5,120.0,4.33388,7.73897
-98.0,27.5,120.0,4.32932,7.76048
-97.75,27.5,120.0,4.33934,7.77863
-97.5,27.5,120.0,4.3733,7.80977
-97.25,27.5,120.0,4.39591,7.85408
-97.0,27.5,120.0,4.41053,7.88269
-96.75,27.5,120.0,4.42155,7.9041
-82.75,27.5,120.0,4.57359,8.18141
-82.5,27.5,120.0,4.57696,8.18793
-82.25,27.5,120.0,4.57788,8.18963
-82.0,27.5,120.0,4.58929,8.21014
-81.75,27.5,120.0,4.59665,8.22336
-81.5,27.5,120.0,4.59819,8.22618
-81.25,27.5,120.0,4.59067,8.2125
-81.0,27.5,120.0,4.58424,8.20031
-80.75,27.5,120.0,4.58321,8.19836
-80.5,27.5,120.0,4.59482,8.21975
-80.25,27.5,120.0,4.60203,8.23304
-100.0,27.75,120.0,4.58533,8.20393
-99.75,27.75,120.0,4.5624,8.16218
-99.5,27.75,120.0,4.5431,8.12724
-99.25,27.75,120.0,4.518,8.08179
-99.0,27.75,120.0,4.47198,7.99928
-98.75,27.75,120.0,4.43192,7.92709
-98.5,27.75,120.0,4.39899,7.86646
-98.25,27.75,120.0,4.41694,7.89916
-98.0,27.75,120.0,4.44092,7.94278
-97.75,27.75,120.0,4.44848,7.95595
-97.5,27.75,120.0,4.43991,7.93934
-97.25,27.75,120.0,4.43786,7.93545
-97.0,27.75,120.0,4.4396,7.93902
-82.75,27.75,120.0,4.56785,8.16966
-82.5,27.75,120.0,4.56766,8.16985
-82.25,27.75,120.0,4.56961,8.17373
-82.0,27.75,120.0,4.58015,8.19265
-81.75,27.75,120.0,4.5897,8.20971
-81.5,27.75,120.0,4.59322,8.21566
-81.25,27.75,120.0,4.56959,8.17283
-81.0,27.75,120.0,4.55574,8.14781
-80.75,27.75,120.0,4.54766,8.13377
-80.5,27.75,120.0,4.55922,8.15522
-100.25,28.0,120.0,4.5978,8.22628
-100.0,28.0,120.0,4.59657,8.22402
-99.75,28.0,120.0,4.5747,8.18396
-99.5,28.0,120.0,4.55412,8.14628
-99.25,28.0,120.0,4.53093,8.10413
-99.0,28.0,120.0,4.48556,8.02371
-98.75,28.0,120.0,4.46858,7.99375
-98.5,28.0,120.0,4.46163,7.98129
-98.25,28.0,120.0,4.46512,7.98747
-98.0,28.0,120.0,4.48228,8.01839
-97.75,28.0,120.0,4.49558,8.04241
-97.5,28.0,120.0,4.48276,8.01902
-82.75,28.0,120.0,4.56836,8.17629
-82.5,28.0,120.0,4.56741,8.17465
-82.25,28.0,120.0,4.5687,8.17705
-82.0,28.0,120.0,4.57732,8.1855
-81.75,28.0,120.0,4.5837,8.19687
-81.5,28.0,120.0,4.58644,8.20048
-81.25,28.0,120.0,4.56143,8.15661
-81.0,28.0,120.0,4.53717,8.11415
-80.75,28.0,120.0,4.52479,8.09311
-80.5,28.0,120.0,4.53111,8.10415
-100.5,28.25,120.0,4.58763,8.20867
-100.25,28.25,120.0,4.59458,8.22077
-100.0,28.25,120.0,4.59867,8.22784
-99.75,28.25,120.0,4.58006,8.19376
-99.5,28.25,120.0,4.55752,8.15209
-99.25,28.25,120.0,4.54916,8.13648
-99.0,28.25,120.0,4.53853,8.11873
-98.75,28.25,120.0,4.53129,8.10672
-98.5,28.25,120.0,4.51825,8.08328
-98.25,28.25,120.0,4.51167,8.07149
-98.0,28.25,120.0,4.51051,8.0693
-97.75,28.25,120.0,4.50757,8.06401
-97.5,28.25,120.0,4.49712,8.04521
-97.25,28.25,120.0,4.48589,8.02517
-96.5,28.25,120.0,4.48518,8.02503
-96.25,28.25,120.0,4.49579,8.04437
-82.75,28.25,120.0,4.5713,8.18166
-82.5,28.25,120.0,4.57725,8.19215
-82.25,28.25,120.0,4.57714,8.19208
-82.0,28.25,120.0,4.57978,8.19719
-81.75,28.25,120.0,4.58088,8.20019
-81.5,28.25,120.0,4.57715,8.19526
-81.25,28.25,120.0,4.55932,8.15157
-81.0,28.25,120.0,4.53976,8.11807
-80.75,28.25,120.0,4.51812,8.08116
-80.5,28.25,120.0,4.52525,8.09332
-100.5,28.5,120.0,4.57561,8.18798
-100.25,28.5,120.0,4.57574,8.18822
-100.0,28.5,120.0,4.57625,8.18907
-99.75,28.5,120.0,4.56749,8.17234
-99.5,28.5,120.0,4.55971,8.15676
-99.25,28.5,120.0,4.55323,8.14459
-99.0,28.5,120.0,4.55993,8.15776
-98.75,28.5,120.0,4.56269,8.16369
-98.5,28.5,120.0,4.54646,8.1343
-98.25,28.5,120.0,4.53043,8.10513
-98.0,28.5,120.0,4.51501,8.07705
-97.75,28.5,120.0,4.50327,8.05564
-97.5,28.5,120.0,4.49251,8.03666
-97.25,28.5,120.0,4.48104,8.01672
-97.0,28.5,120.0,4.47448,8.0055
-96.75,28.5,120.0,4.48147,8.01847
-96.5,28.5,120.0,4.49773,8.04804
-96.25,28.5,120.0,4.51364,8.07686
-96.0,28.5,120.0,4.52584,8.09889
-95.75,28.5,120.0,4.53496,8.11527
-95.5,28.5,120.0,4.54134,8.1265
-95.25,28.5,120.0,4.54434,8.13131
-82.75,28.5,120.0,4.56888,8.17647
-82.5,28.5,120.0,4.57833,8.19358
-82.25,28.5,120.0,4.57882,8.19452
-82.0,28.5,120.0,4.57996,8.1969
-81.75,28.5,120.0,4.57389,8.18679
-81.5,28.5,120.0,4.57113,8.18292
-81.25,28.5,120.0,4.55358,8.1414
-81.0,28.5,120.0,4.54291,8.12311
-80.75,28.5,120.0,4.51754,8.0796
-100.5,28.75,120.0,4.50085,8.04621
-100.25,28.75,120.0,4.51469,8.08415
-100.0,28.75,120.0,4.52427,8.101
-99.75,28.75,120.0,4.53432,8.11849
-99.5,28.75,120.0,4.54478,8.12778
-99.25,28.75,120.0,4.5587,8.15573
-99.0,28.75,120.0,4.57439,8.18091
-98.75,28.75,120.0,4.58644,8.20879
-98.5,28.75,120.0,4.59073,8.2165
-98.25,28.75,120.0,4.54803,8.1371
-98.0,28.75,120.0,4.516,8.07719
-97.75,28.75,120.0,4.49442,8.03699
-97.5,28.75,120.0,4.48521,8.02297
-97.25,28.75,120.0,4.47051,7.99843
-97.0,28.75,120.0,4.46446,7.98809
-96.75,28.75,120.0,4.48299,8.02124
-96.5,28.75,120.0,4.511,8.07177
-96.25,28.75,120.0,4.53276,8.11107
-96.0,28.75,120.0,4.54635,8.13561
-95.75,28.75,120.0,4.55656,8.15405
-95.5,28.75,120.0,4.56457,8.16841
-95.25,28.75,120.0,4.56861,8.17512
-82.5,28.75,120.0,4.56288,8.164
-82.25,28.75,120.0,4.57003,8.17726
-82.0,28.75,120.0,4.57416,8.18489
-81.75,28.75,120.0,4.56961,8.17832
-81.5,28.75,120.0,4.55792,8.15845
-81.25,28.75,120.0,4.54641,8.1381
-81.0,28.75,120.0,4.53767,8.11365
-80.75,28.75,120.0,4.52285,8.09448
-103.5,29.0,120.0,4.40923,7.89356
-103.25,29.0,120.0,4.41136,7.89625
-103.0,29.0,120.0,4.40938,7.89364
-102.75,29.0,120.0,4.40989,7.89496
-100.75,29.0,120.0,4.47182,7.99892
-100.5,29.0,120.0,4.47723,8.00739
-100.25,29.0,120.0,4.49317,8.03435
-100.0,29.0,120.0,4.50466,8.05269
-99.75,29.0,120.0,4.52481,8.08987
-99.5,29.0,120.0,4.53753,8.11565
-99.25,29.0,120.0,4.55126,8.14279
-99.0,29.0,120.0,4.5692,8.17318
-98.75,29.0,120.0,4.58197,8.1943
-98.5,29.0,120.0,4.58116,8.19273
-98.25,29.0,120.0,4.54252,8.12608
-98.0,29.0,120.0,4.51259,8.07469
-97.75,29.0,120.0,4.48847,8.0344
-97.5,29.0,120.0,4.4797,8.01107
-97.25,29.0,120.0,4.47106,7.99741
-97.0,29.0,120.0,4.4737,8.0033
-96.75,29.0,120.0,4.49537,8.04244
-96.5,29.0,120.0,4.52851,8.10232
-96.25,29.0,120.0,4.5537,8.14812
-96.0,29.0,120.0,4.56518,8.16891
-95.75,29.0,120.0,4.57598,8.18859
-95.5,29.0,120.0,4.58709,8.20875
-95.25,29.0,120.0,4.59277,8.21849
-90.75,29.0,120.0,4.41881,7.91416
-90.5,29.0,120.0,4.42476,7.92864
-83.25,29.0,120.0,4.43164,7.92556
-82.75,29.0,120.0,4.50355,8.05678
-82.5,29.0,120.0,4.53977,8.12158
-82.25,29.0,120.0,4.55122,8.14234
-82.0,29.0,120.0,4.56042,8.15917
-81.75,29.0,120.0,4.55445,8.14906
-81.5,29.0,120.0,4.54349,8.12979
-81.25,29.0,120.0,4.54215,8.12851
-81.0,29.0,120.0,4.54024,8.12507
