Network, Station, Latitude, Longitude
IU,HRV,42.5064,-71.5583
LD,FRNY,44.835,-73.5883
TA,109C,32.888901,-117.105103
TA,C13A,47.679501,-114.573502
TA,D47A,47.055801,-83.103798,
TA,E17A,46.462002,-110.857597
TA,E54A,46.433899,-77.186897
TA,F15K,65.7077,-164.6483
TA,F19K,66.8332,-157.7728
TA,F24K,67.5187,-147.8871
TA,L17K,62.1344,-158.2972
TA,L18K,62.2195,-156.6886
TA,L64A,41.935902,-70.839104
TA,M20K,61.8823,-153.1318
TA,T25A,37.138802,-104.410797
TA,X14A,34.4692,-112.890602
US,COWI,46.1003,-89.1369
US,EYMN,47.9462,-91.4953
US,NEW,48.2642,-117.1227
US,PKME,45.2644,-69.2917
US,TPNV,36.9488,-116.2495
UW,UMAT,45.2904,-118.9595
US,TPNV,36.9488,-116.2495
CI,CWC,36.439047,-118.080495
CI,IKP,32.65012,-116.10948
