Network,StationName,Cluster,MaxAmplitudeTime,Latitude,Longitude,Depth
TA,Q31A,1,13.43,39,-99.4,140.53
LD,UCCT,1,13.4,41.8,-72.2,138.91
TA,449A,1,13.45,30.8,-87.2,139.21
TA,E03A,1,13.45,46.5,-123.6,130.99
N4,H62A,1,13.38,44.6,-71.2,134.93
TA,Z22A,1,13.48,33.3,-107,129.71
TA,D52A,1,13.3,47,-78.4,139.5
UW,LRIV,1,13.3,48.1,-123.5,129.31
LD,ALLY,1,13.53,41.6,-80.1,141.27
TA,C13A,1,13.55,47.7,-114.6,135.94
LD,FOR,1,13.55,40.9,-73.9,141.3
TA,D06A,1,13.07,47.2,-120.8,128.16
US,ELK,1,13.05,40.7,-115.2,123.15
TA,U12A,1,13.12,36.4,-114.5,125.44
TA,W25A,1,13.62,35.2,-104.5,131.3
AZ,MONP,1,13.15,32.9,-116.4,125.22
TA,450A,1,13.65,30.8,-86.6,142.79
TA,C36A,1,13.68,47.8,-92.8,144.9
TA,Q58A,1,13.57,38.9,-77.7,139.78
TA,320A,1,13.05,31.3,-108.5,125.13
TA,T41A,1,12.98,37,-91.8,135.4
N4,F64A,1,13.62,45.9,-68.3,138.55
UW,IRON,1,12.93,43.4,-118.5,119.59
TA,X37A,1,12.9,34.6,-95.4,135.76
TA,218A,1,12.9,32,-110,123.44
N4,E62A,1,12.8,46.6,-69.5,133.32
TA,C37A,1,12.85,47.7,-92.2,136.45
TA,H65A,1,12.78,44.7,-68.2,132.31
CI,EDW,1,12.75,34.9,-118,122.55
TA,G61A,1,12.8,45.3,-71.5,129.9
TA,J60A,1,12.7,43.2,-73.4,127.47
TA,G09A,1,12.65,45.3,-117.8,122.82
TA,Y13A,1,12.57,33.8,-113.8,120.58
TA,H53A,1,12.5,44.6,-78.6,131.45
CC,LSON,1,12.43,45.4,-121.6,120.79
TA,C14A,1,12.45,47.8,-113.7,125.76
Z9,W08,1,12.35,31.7,-83.9,128.1
N4,G65A,1,12.4,45.2,-67.6,126.35
TA,H09A,1,12.55,44.7,-117.7,120.86
TA,N18A,1,12.35,41,-109.7,126.73
TA,V57A,1,12.25,35.9,-79.8,128.59
TA,552A,1,12,30.1,-85.3,125.19
TA,L64A,1,12.23,41.9,-70.8,125.08
TA,U14A,1,12.15,36.4,-113.2,114.25
TA,M18A,1,16.68,41.4,-110.1,170.72
TA,H24A,1,12.15,44.7,-104.6,125.03
IU,HRV,1,12.15,42.5,-71.6,125.12
TA,P32A,1,12.12,39.6,-98.6,128.75
TA,125A,1,17.25,32.7,-104.7,169.87
TA,M44A,1,14.28,41.4,-88,150.18
TA,C09A,1,12.05,47.8,-118.3,118.64
LD,MMNY,1,17.52,42.7,-77.9,182.18
TA,R18A,1,17.6,38.4,-109.9,175.25
UW,BABR,1,13.3,44.6,-123.8,130.41
TA,M35A,1,12.55,41.5,-95.7,133.69
TA,N20A,1,17.23,40.8,-108.3,176.52
TA,R06C,1,16.9,38.5,-119.5,162.85
TA,F40A,1,16.48,45.9,-90.1,174.08
TA,K14A,1,14.93,42.5,-113.2,139.76
TA,B11A,1,12.28,48.4,-116.4,121.87
TA,X21A,1,15.9,34.4,-107.8,148.42
TA,I29A,1,17.05,44,-100.3,178.16
7A,FOXP,1,17.12,38.6,-79.2,173.58
CI,CWC,1,13.6,36.4,-118.1,130.16
TA,L61B,1,14.78,42.4,-72.7,148.01
TA,H22A,1,15.28,44.6,-106.4,159.88
TA,444A,1,17.43,30.7,-90.7,176.88
CI,NEE2,1,15.93,34.8,-114.6,152.93
TA,L10A,1,15.3,42.1,-116.5,142.87
TA,E13A,1,15.22,46.4,-114.2,150.44
US,MNV,1,15.28,38.4,-118.2,145.46
N4,O49A,1,15.45,40.2,-84.3,162.48
TA,M60A,1,15.45,41.3,-74.6,158.66
TA,Z36A,1,15.7,33.3,-96.4,165
TA,D58A,1,15.5,47.1,-72.9,162.95
CI,LKL,1,15.22,34.6,-117.8,148.64
UW,DOSE,1,15.6,47.7,-123,154.19
TA,H61A,1,15.7,44.5,-71.9,156.64
TA,I04A,1,15.6,43.8,-122.4,154.27
LD,MCVT,1,15.8,44,-73,158.06
IU,DWPF,1,15.8,28.1,-81.4,165.35
TA,S49A,1,15.58,37.8,-85.3,164.47
N4,I42A,1,14.75,43.9,-88.9,156.4
TA,X38A,1,18,34.7,-94.8,187.71
TA,N58A,1,14.88,40.8,-76.7,155.77
TA,D47A,1,15.93,47.1,-83.1,168.52
AE,X16A,1,15.95,34.4,-111.4,149.41
TA,Y54A,1,14.78,33.9,-82.7,153.02
TA,Q44A,1,14.97,38.9,-89,158.86
TA,O16A,1,15,40.2,-111.5,145.2
TA,D57A,1,16.02,47,-73.9,167.07
TA,Q18A,1,14.62,39.1,-110.1,146.07
TA,I53A,1,16.83,43.8,-79.6,176.66
CI,SDR,1,17.48,32.7,-116.9,167.17
TA,R35A,1,17.98,38.3,-96.2,189.85
7A,PETO,1,18,39.2,-80.3,187.44
TA,V14A,1,18,35.6,-113.1,169.6
N4,237B,1,14.53,32,-95.8,150.11
TA,A11A,1,15.47,49,-116.4,153.85
TA,D63A,1,14.6,47,-68.1,148.62
TA,G41A,1,16.77,45.2,-89.2,177.95
TA,B09A,1,13.85,48.4,-118.1,135.71
TA,N56A,1,16.18,40.9,-78.3,169.74
TA,X55A,1,15.05,34.5,-81.6,157.26
TA,M14A,1,15.45,41.5,-113.3,147.8
US,EYMN,1,14.53,47.9,-91.5,155.46
CI,BAR,1,13.78,32.7,-116.7,131.5
TA,X20A,1,16.95,34.5,-108.5,160.99
TA,T59A,1,13.93,37,-77.6,144.25
TA,V52A,1,16.15,35.8,-83.6,169.45
TA,E16A,1,13.98,46.5,-111.7,137.31
TA,G53A,1,13.95,45.1,-78.6,146.54
TA,H15A,1,16.58,44.6,-112.6,156.34
UW,JEDS,1,13.98,43.8,-124,136.15
TA,I55A,1,14.05,44.2,-77.7,146.05
US,AGMN,1,14.03,48.3,-95.9,149.4
TA,Z37A,1,14.05,33.2,-95.6,145.99
TA,117A,1,13.95,32.6,-110.7,132.83
TA,J08A,1,13.98,43.4,-118.5,129.3
NE,EMMW,1,14.18,44.7,-67.5,144.47
TA,X19A,1,14.22,34.4,-109.3,134.64
TA,X15A,1,14.35,34.5,-112.2,134.51
TA,Y53A,1,14.33,33.9,-83.6,148.36
TA,S18A,2,8.68,37.7,-110,86.08
TA,G15A,2,8.68,45.2,-112.5,83.78
TA,219A,2,8.6,32,-109.3,82.82
N4,J55A,2,8.62,43.3,-77.8,89.56
TA,J10A,2,8.53,43.4,-116.8,81.06
TA,B08A,2,8.47,48.4,-119.3,82.25
TA,G54A,2,8.4,45.4,-78.1,87.7
TA,K37A,2,8.25,42.8,-93.6,87.89
TA,N39A,2,8.2,40.9,-92.5,87.3
TA,534A,2,8.18,30,-98.5,84.36
TA,F42A,2,10.75,45.8,-88.1,113.96
TA,D62A,2,8,47.1,-69.1,84.23
TA,349A,2,10.55,31.4,-87.2,111.46
N4,F64A,2,10,45.9,-68.3,101.72
BK,JCC,2,9,40.8,-124,86.44
TA,O48A,2,10.05,40.3,-85.2,107.07
US,PKME,2,10.12,45.3,-69.3,104.24
TA,V59A,2,10.03,35.8,-78.2,103.95
Z9,W23,2,10.25,32.5,-83.9,107.29
Z9,W22,2,10.32,32.4,-83.9,108.03
Z9,W21,2,10.38,32.4,-83.9,108.65
US,HLID,2,10.43,43.6,-114.4,97.34
TA,E64A,2,10.48,46.4,-67.8,104.52
TA,BNLO,2,10.45,37.1,-122.2,100.67
TA,K47A,2,10.62,42.7,-85,111.89
TA,Y12C,2,10.65,33.8,-114.5,102.03
TA,G28A,2,10.68,45.1,-100.9,112.68
TA,E50A,2,10.7,46.4,-80.7,111.76
TA,V15A,2,10.78,35.8,-112.2,102.01
TA,G64A,2,10.85,45.3,-68.8,111.99
TA,P24A,2,10.85,39.5,-104.9,107.56
TA,P60A,2,10.98,39.8,-75.6,115.08
TA,K36A,2,10.85,42.6,-94.5,115.27
TA,D08A,2,10.98,47.1,-118.9,107.36
US,VBMS,2,11.03,32.2,-90.5,111.35
CI,HEC,2,9.25,34.8,-116.3,88.85
N4,I42A,2,8,43.9,-88.9,84.83
TA,TASO,2,11.78,34.9,-106.5,112.94
TA,Y29A,2,8.05,33.9,-101.7,84.07
TA,TASN,2,11.75,34.9,-106.5,112.66
TA,H41A,2,11.65,44.6,-89.7,123.21
LD,WUPA,2,11.62,39.9,-75.6,121.19
TA,216A,2,11.78,32,-111.5,112.36
US,LTX,2,11.62,29.3,-103.7,114.57
TA,J41A,2,11.88,43.4,-90,125.38
LD,PAL,2,11,41,-73.9,114.71
TA,U34A,2,11.6,36.4,-97.5,122.69
TA,M34A,2,11.45,41.5,-96.6,120.83
TA,I63A,2,11.48,44.1,-70.6,115.18
US,MSO,2,11.32,46.8,-113.9,112.87
CI,DGR,2,11.43,33.7,-117,109.89
N4,G62A,2,11.3,45.2,-70.5,114.01
LD,FRNY,2,11.45,44.8,-73.6,117.5
TA,M33A,2,9.62,41.6,-97.2,100.68
TA,O01C,2,11.35,40.1,-123.8,107.88
LD,NPNY,2,11.28,41.8,-74.1,115.96
TA,L47A,2,9.6,42,-85.2,100.77
UW,RADR,2,11.5,46.4,-123.8,111.87
TA,O48B,2,9.55,40.3,-85.2,101.74
CI,VTV,2,11.3,34.6,-117.3,109.98
TA,E47A,2,9.65,46.5,-83.3,100.89
TA,Y15A,2,11.23,34,-112.3,105.3
CI,GSC,2,9.68,35.3,-116.8,93.57
XQ,NC03,2,9.57,35.5,-79.3,99.78
TA,D54A,2,9.47,47.2,-76.7,100
TA,529A,2,11.18,30.1,-102.2,110.8
TA,V18A,2,11.15,35.7,-109.9,109.02
TA,Y18A,2,9.47,33.8,-110,89.3
CC,WIZ,2,9.53,42.9,-122.1,92.93
TA,H04A,2,11.07,44.7,-122.2,110.43
TA,X18A,2,10.62,34.5,-110,100.09
N4,F63A,2,9.35,45.7,-69.1,96.78
CI,MUR,2,11.12,33.6,-117.2,106.69
CI,IRM,2,9.28,34.2,-115.1,88.3
TA,N59A,2,9.25,40.9,-75.8,97.07
TA,F48A,2,9.25,45.8,-82.6,97.75
N4,F63A,2,9.22,45.7,-69.1,95.43
TA,D37A,2,9.1,47.2,-92.4,96.63
TA,214A,2,8.8,32,-112.8,85.03
TA,U17A,2,8.82,36.6,-110.7,85.93
TA,E15A,2,9.1,46.4,-112.6,89.88
N4,L48A,2,9.12,41.9,-84.4,94.84
TA,U33A,2,8.97,36.4,-98.1,94.69
LD,BMNY,3,6.05,44.8,-74.5,62.49
TA,H63A,3,6.05,44.7,-70,61.17
N4,V53A,3,6.05,35.7,-82.8,63.21
BK,BDM,3,6.05,38,-121.9,57.33
LD,PANJ,3,6.05,40.4,-74.7,62.34
TA,J57A,3,6.05,43.4,-76,63.4
TA,U26A,3,6.05,36.4,-103.7,58.93
N4,L42A,3,6.05,42,-89.7,64.44
N4,456A,3,6.05,30.7,-82,61.69
TA,Q49A,3,6.05,39,-84.9,64.37
TA,TUL1,3,6.08,35.9,-95.8,64.05
TA,D14A,3,6.05,47.1,-113.5,60.66
TA,L61A,3,6.08,42.2,-73.6,60.98
LD,NCB,3,6.08,44,-74.2,62.36
TA,H20A,3,6.08,44.5,-108,62.54
TA,N51A,3,6.08,40.9,-82.4,64.18
N4,Z51A,3,6.08,33.3,-85.2,64.2
IU,CCM,3,6.08,38.1,-91.2,64.29
TA,D17A,3,6.08,47.2,-110.7,61.49
TA,H40A,3,6.08,44.6,-90.4,64.26
US,JFWS,3,6.08,42.9,-90.2,64.27
N4,P53A,3,6.15,39.5,-81.4,64.54
TA,L59A,3,6.15,42.2,-75,63.69
US,SCIA,3,6.15,41.9,-93.2,65.04
TA,T15A,3,6.08,37,-112.4,58.6
7A,PVGR,3,6.15,39.6,-81.4,64.54
TA,T35A,3,6.08,36.9,-96.5,63.82
TA,H03A,3,6.15,44.7,-123.3,60.72
TA,M49A,3,6.15,41.5,-84,64.21
TA,R25A,3,6.15,38.1,-104.3,60.42
TA,X26A,3,6.15,34.6,-103.8,61.24
N4,M55A,3,6.17,41.5,-78.8,64.52
US,LONY,3,6.17,44.6,-74.6,63.59
TA,E52A,3,6.17,46.3,-78.7,64.4
TA,S39A,3,6.17,37.7,-93.3,65.39
TA,L21A,3,6.17,42,-107.4,64.25
TA,K58A,3,6.17,42.8,-75.6,64.55
TA,628A,3,6.17,29.5,-102.9,60.98
TA,226B,3,6.17,32.1,-104.2,61.82
TA,M21A,3,6.17,41.6,-107.4,64.19
TA,P50A,3,6.17,39.6,-83.8,64.89
TA,F19A,3,6.2,45.9,-108.9,63.06
TA,637A,3,6.17,29.4,-96.3,64.07
TA,F26A,3,6.17,45.9,-102.7,64.42
TA,X50B,3,6.2,34.5,-85.6,64.55
LD,WVNY,3,6.25,42.4,-78.6,65.46
N4,Z51A,3,6.25,33.3,-85.2,66
TA,Q47A,3,6.25,38.9,-86.4,65.85
IU,COR,3,6.28,44.6,-123.3,61.84
TA,Z44A,3,6.25,33.3,-90.4,64.56
TA,R26A,3,6.28,38.3,-103.4,62.19
TA,N14A,3,6.25,40.9,-113.2,60.03
TA,736A,3,6.28,29,-97.1,64.18
TA,328A,3,6.28,31.4,-102.8,65.47
TA,224A,3,6.28,32.1,-105.5,61.54
TA,L38A,3,6.28,42.1,-93,66.44
Z9,W11,3,6.28,32,-83.9,65.38
N4,S39B,3,6.28,37.7,-93.3,66.55
TA,R24A,3,6.3,38.2,-105.1,62.09
TA,M27A,3,6.38,41.5,-102.4,66.25
TA,S45A,3,6.38,37.7,-88.6,66.06
TA,Q22A,3,6.38,38.9,-106.9,61.59
TA,O50A,3,6.38,40.1,-83.6,66.95
TA,U47A,3,6.38,36.4,-87.3,66.83
TA,P25A,3,6.38,39.5,-104.2,63.93
N4,K30B,3,6.38,42.7,-99.6,67.2
TA,K21A,3,6.4,42.6,-107.3,67.28
TA,F25A,3,6.38,45.9,-103.5,66.14
TA,T56A,3,6.4,37,-80,65.75
